Date,Open,High,Low,Close,Volume,Market Cap,pcnt_change,3_day_volume_avg,7_day_volume_avg,10_day_volume_avg,20_day_volume_avg,3_day_close_avg,7_day_close_avg,10_day_close_avg,20_day_close_avg,bitcoin_close,7_day_btcn_avg,10_day_btcn_avg,btcn_pcnt_chng,sp500_close,7_day_sp500_avg,10_day_sp500_avg,sp500_pcnt_chng,increase_flag,tomorrow_percent_change
20170502,0.319147,0.326074,0.280153,0.314833,588824,15957400,-1.2561238,1120798,758495.43,598966,411802,0.33,0.27,0.24,0.21,1421.6,1324.58,1296.113,5.468547137,2391.169922,2386.902832,2381.976977,0.118905005,1,9.195033557
20170501,0.361689,0.361689,0.269563,0.318838,1142050,18084400,-11.45823787,1244527.67,708921.29,568895,391974,0.32,0.25,0.23,0.21,1347.89,1300.087143,1276.158,1.974595057,2388.330078,2386.537144,2377.728979,0.173229053,0,-1.2561238
20170430,0.271731,0.362409,0.268994,0.360099,1631520,13586500,32.5213724,1021740.67,583300.71,481003,347744,0.29,0.23,0.21,0.2,1321.79,1279.99,1264.277,0.403348323,2384.199951,2384.511405,2373.764966,0,0,-11.45823787
20170429,0.229612,0.29057,0.221128,0.271729,960013,11480600,18.52696779,587224.67,375323.29,340103,276589,0.23,0.2,0.2,0.19,1316.48,1267.121429,1253.127,-0.0948601,2384.199951,2379.438546,2370.928979,0,1,32.5213724
20170428,0.202194,0.229271,0.20142,0.229255,473689,10109700,13.4409081,329020.33,279338.43,273832,233456,0.21,0.19,0.19,0.19,1317.73,1253.631429,1242.646,2.860867393,2384.199951,2374.365688,2366.325976,-0.191314734,1,18.52696779
20170427,0.184394,0.20851,0.181833,0.202092,327972,9219700,9.489264643,251725.67,249258.14,261333,212505,0.19,0.18,0.18,0.19,1281.08,1240.967143,1230.264,1.231933875,2388.77002,2369.292829,2362.124975,0.055292007,1,13.4409081
20170426,0.183475,0.188085,0.179909,0.184577,185400,9173750,0.584728398,229970.33,234194.29,261666,200187,0.18,0.18,0.18,0.19,1265.49,1230.854286,1220.45,1.227052754,2387.449951,2364.588553,2358.148974,-0.048570338,1,9.489264643
20170425,0.173606,0.184094,0.166802,0.183504,241805,8680300,5.608950379,226729.67,250180.29,259915,195042,0.18,0.18,0.18,0.19,1250.15,1223.165714,1211.153,3.55696192,2388.610107,2357.548549,2352.298974,0.609068744,1,0.584728398
20170424,0.177077,0.177153,0.163354,0.173758,262706,8853850,-0.687014175,242167.67,265450.14,243391,188054,0.18,0.18,0.18,0.19,1207.21,1215.131429,1202.892,-1.989104578,2374.149902,2350.917097,2346.332959,1.084006899,1,5.608950379
20170423,0.180684,0.185985,0.169937,0.17496,175678,9034200,-4.423734554,242308,275250.43,227434,182324,0.18,0.18,0.19,0.19,1231.71,1211.664286,1199.099,0.790475021,2348.689941,2347.325683,2341.812964,0,0,-0.687014175
20170422,0.178943,0.188524,0.173304,0.183058,288119,8947150,2.771134391,257923.67,274137.29,224639,178780,0.18,0.19,0.19,0.19,1222.05,1203.208571,1195.965,-0.571972532,2348.689941,2344.505685,2339.838965,0,0,-4.423734554
20170421,0.184685,0.185694,0.174442,0.178122,263127,9234250,-3.574502639,260984.67,243915.43,215052,169492,0.18,0.19,0.19,0.19,1229.08,1195.421429,1194.261,1.55252047,2348.689941,2341.685686,2339.462964,-0.303507315,1,2.771134391
20170420,0.189534,0.191015,0.178645,0.184725,222525,9476700,-2.472440446,289507,221059.86,214485,161836,0.18,0.19,0.19,0.19,1210.29,1186.878571,1190.066,-0.113892396,2355.840088,2338.865688,2339.971973,0.755726341,0,-3.574502639
